stock_no,product_size,cost,product_type,buy_date,product_name
1,5.46,835.85,food,2019-04-24,roll
2,6.33,381.99,clothing,2016-10-16,polo
3,1.4,811.99,furniture,2017-04-15,desk
4,0.65,283.01,clothing,2020-05-06,tie
5,4.54,819.67,furniture,2018-12-31,desk
6,4.17,698.14,clothing,2019-01-28,jeans
7,0.82,785.34,food,2020-03-30,noodles
8,5.62,411.26,clothing,2021-06-03,socks
9,9.7,30.0,furniture,2021-05-17,cot
10,6.79,412.61,clothing,2016-11-12,shirt
11,5.83,204.64,clothing,2016-09-26,socks
12,5.77,355.75,furniture,2017-02-25,dining table
13,9.14,963.15,clothing,2016-01-17,trousers
14,6.76,422.28,clothing,2020-02-08,t-shirt
15,7.07,755.95,food,2020-10-22,sauce
16,3.52,48.03,food,2021-09-15,rice
17,9.29,413.57,food,2019-03-13,yoghurt
18,5.73,701.99,food,2017-11-08,beef
19,7.69,938.66,food,2016-01-24,noodles
20,6.75,77.95,clothing,2021-06-28,socks
21,2.69,69.25,clothing,2017-01-25,tie
22,2.64,671.73,clothing,2021-06-20,polo
23,4.73,486.43,food,2015-05-11,chicken
24,9.22,339.02,furniture,2019-08-08,chair
25,4.42,756.3,furniture,2019-09-06,dining table
26,2.57,844.08,furniture,2018-02-05,chair
27,9.29,779.8,furniture,2019-08-27,sofa
28,0.24,685.57,furniture,2015-02-18,press
29,2.89,780.33,clothing,2021-01-21,tie
30,0.39,338.8,furniture,2016-10-31,dining table
31,9.39,787.4,food,2016-06-13,yoghurt
32,8.56,390.55,food,2020-12-05,wrap
33,8.79,993.6,clothing,2015-08-31,trousers
34,8.09,498.6,clothing,2020-05-30,trousers
35,9.31,13.4,food,2018-12-03,whey
36,2.21,160.28,food,2019-11-10,roll
37,6.72,235.67,clothing,2015-01-12,trousers
38,8.9,615.46,food,2016-12-22,yoghurt
39,0.22,454.54,furniture,2020-12-24,desk
40,0.92,328.9,clothing,2016-01-23,skirt
41,7.45,138.05,food,2016-10-09,yoghurt
42,6.23,885.44,food,2021-11-23,whey
43,3.58,197.56,food,2017-07-05,beef
44,4.01,579.63,food,2018-10-07,bread
45,8.76,678.84,clothing,2020-05-05,jeans
46,4.91,825.62,clothing,2015-04-13,tie
47,7.93,698.65,furniture,2016-11-11,press
48,8.49,679.19,clothing,2021-03-11,dress
49,0.88,564.93,furniture,2019-08-07,shelves
50,1.99,61.19,clothing,2019-08-26,skirt
51,0.12,23.16,food,2021-02-24,bread
52,8.92,756.0,clothing,2021-01-12,tie
53,8.84,821.17,food,2016-04-15,chicken
54,9.24,41.8,clothing,2019-09-17,skirt
55,2.18,284.35,furniture,2016-06-17,cot
56,1.68,7.27,furniture,2020-02-13,chair
57,7.46,689.82,clothing,2020-04-27,socks
58,6.4,939.21,food,2016-04-26,sauce
59,5.56,653.77,food,2015-01-13,roll
60,7.25,665.06,furniture,2020-04-28,chair
61,3.69,284.29,furniture,2020-01-07,dining table
62,3.3,888.83,clothing,2016-12-12,trousers
63,6.61,331.23,clothing,2017-01-26,polo
64,8.85,677.3,furniture,2021-07-18,dining table
65,6.36,758.07,furniture,2019-01-20,shelves
66,6.32,672.97,food,2015-08-11,bread
67,0.03,458.5,food,2017-03-12,quinoa
68,3.58,148.9,food,2019-12-24,beef
69,3.8,911.21,food,2015-05-18,whey
70,8.17,531.75,furniture,2016-04-09,cot
71,8.56,48.51,food,2018-03-21,beef
72,8.66,269.95,furniture,2020-12-18,shelves
73,5.64,481.11,clothing,2020-11-28,underwear
74,3.31,387.82,food,2021-10-22,wrap
75,9.72,267.95,food,2015-05-04,ice cream
76,8.95,780.12,furniture,2017-04-30,cot
77,2.81,153.37,food,2018-09-06,whey
78,4.34,135.9,food,2016-05-02,roll
79,9.23,875.3,food,2020-01-24,yoghurt
80,6.82,782.02,furniture,2021-09-15,shelves
81,7.2,750.43,furniture,2019-06-18,sofa
82,3.91,692.38,food,2019-08-22,roll
83,7.3,832.41,clothing,2018-04-07,t-shirt
84,4.76,343.55,furniture,2021-10-19,dining table
85,1.45,645.67,food,2015-04-24,yoghurt
86,7.06,872.5,furniture,2020-07-02,chair
87,8.95,19.83,furniture,2019-02-04,chair
88,6.51,45.73,food,2021-09-01,chicken
89,3.03,553.93,food,2018-09-06,wrap
90,1.85,163.3,clothing,2021-10-17,tie
91,0.59,236.32,furniture,2019-01-26,bed
92,6.02,722.03,food,2020-04-05,beef
93,4.86,310.49,furniture,2017-10-14,cot
94,7.84,166.93,furniture,2021-06-27,shelves
95,6.59,211.12,furniture,2019-07-11,desk
96,1.83,170.0,furniture,2021-09-10,sofa
97,1.2,261.32,food,2018-09-20,bread
98,1.03,51.62,furniture,2019-09-13,dining table
99,5.22,796.96,food,2017-06-13,sauce
100,4.39,98.96,furniture,2018-01-06,cot
101,0.54,535.52,furniture,2016-03-07,sofa
102,6.98,531.93,food,2017-07-20,bread
103,5.09,260.21,food,2016-09-29,noodles
104,7.75,430.58,clothing,2019-01-14,socks
105,3.94,485.24,food,2016-06-08,ice cream
106,6.84,154.94,clothing,2018-09-07,trousers
107,1.41,612.59,clothing,2017-09-09,underwear
108,2.09,409.8,food,2019-09-30,chicken
109,9.79,664.11,food,2015-10-16,ice cream
110,1.57,86.88,furniture,2018-05-11,sofa
111,8.1,253.7,clothing,2018-02-07,polo
112,9.12,275.76,furniture,2020-04-09,shelves
113,2.44,361.36,furniture,2016-02-02,sofa
114,0.17,529.3,clothing,2015-12-07,dress
115,8.51,998.97,clothing,2017-02-16,tie
116,6.68,644.55,food,2021-02-21,ice cream
117,2.86,911.0,clothing,2021-04-20,dress
118,7.83,327.31,food,2015-08-11,whey
119,4.27,86.21,clothing,2015-04-22,underwear
120,7.48,720.99,food,2015-01-06,bread
121,9.98,68.52,furniture,2015-12-08,sofa
122,0.38,820.68,food,2017-04-12,chicken
123,5.59,558.0,food,2018-06-12,beef
124,9.08,542.08,furniture,2017-03-25,sofa
125,5.18,952.67,food,2016-06-04,quinoa
126,5.71,589.91,clothing,2018-10-26,polo
127,2.34,511.52,food,2016-08-09,bread
128,0.95,129.7,furniture,2015-12-28,dining table
129,8.47,382.64,food,2020-02-29,beef
130,6.17,418.68,clothing,2018-04-07,polo
131,2.64,894.28,furniture,2015-01-04,cot
132,0.94,693.07,clothing,2016-09-09,trousers
133,3.24,968.67,clothing,2015-12-19,skirt
134,8.0,814.04,food,2017-03-18,rice
135,1.11,415.1,food,2020-10-29,chicken
136,0.36,417.94,furniture,2016-12-30,sofa
137,8.64,987.15,food,2015-12-01,quinoa
138,6.07,302.34,food,2021-03-24,chicken
139,2.63,984.84,food,2018-01-28,beef
140,6.1,732.11,furniture,2020-07-23,dining table
141,6.7,484.7,furniture,2018-04-30,chair
142,7.25,783.12,clothing,2021-04-09,shirt
143,3.57,301.53,clothing,2016-02-14,shirt
144,6.53,304.41,food,2018-09-18,chicken
145,1.45,12.94,furniture,2020-08-05,press
146,2.79,462.65,food,2021-05-03,beef
147,0.52,109.73,furniture,2019-01-28,bed
148,9.98,865.3,furniture,2015-09-20,dining table
149,8.43,505.71,furniture,2016-12-02,desk
150,9.29,219.74,food,2015-11-07,yoghurt
151,4.36,265.34,food,2018-02-12,roll
152,8.51,641.51,clothing,2021-10-25,tie
153,0.27,94.54,furniture,2021-10-16,press
154,1.75,10.62,clothing,2019-03-15,socks
155,8.19,741.97,furniture,2017-02-01,shelves
156,8.37,32.69,food,2017-03-11,chicken
157,9.15,805.35,clothing,2021-06-28,dress
158,9.41,444.39,furniture,2021-12-15,sofa
159,0.27,200.46,food,2016-01-16,sauce
160,8.92,88.7,food,2019-11-06,quinoa
161,5.91,945.02,food,2017-01-03,quinoa
162,4.88,144.18,clothing,2020-09-23,underwear
163,7.75,553.91,furniture,2016-11-02,cot
164,2.51,28.62,food,2020-06-01,wrap
165,2.02,722.25,food,2018-06-25,rice
166,0.07,914.49,clothing,2021-11-09,skirt
167,4.49,598.38,clothing,2019-04-22,socks
168,1.68,527.45,furniture,2016-12-18,chair
169,4.43,989.37,clothing,2021-02-27,skirt
170,5.23,901.54,clothing,2021-11-30,tie
171,4.52,293.54,furniture,2016-11-26,sofa
172,1.42,544.94,furniture,2019-09-03,shelves
173,9.81,49.09,food,2021-04-04,beef
174,8.96,810.0,clothing,2019-07-22,underwear
175,8.0,305.22,food,2018-04-01,noodles
176,5.63,711.83,food,2016-02-11,whey
177,3.83,845.72,food,2016-07-28,noodles
178,1.16,287.97,furniture,2016-03-06,shelves
179,2.91,489.95,food,2020-06-10,bread
180,7.36,238.58,food,2015-04-27,noodles
181,9.66,974.24,food,2015-12-12,sauce
182,3.62,53.18,furniture,2020-07-16,shelves
183,0.24,83.48,food,2017-10-31,bread
184,8.08,558.96,furniture,2020-05-18,press
185,2.33,313.05,food,2016-09-22,sauce
186,3.33,764.76,food,2018-04-01,whey
187,9.93,32.46,food,2020-02-19,roll
188,8.18,290.85,furniture,2020-12-24,desk
189,1.87,806.5,clothing,2016-02-18,polo
190,7.15,562.68,clothing,2015-08-01,dress
191,3.88,777.69,clothing,2015-08-03,skirt
192,8.69,76.13,food,2015-07-07,bread
193,6.92,559.98,food,2015-07-09,noodles
194,8.79,774.06,clothing,2015-04-17,jeans
195,8.19,547.0,food,2017-07-10,sauce
196,4.95,144.55,furniture,2020-08-14,press
197,2.35,468.93,furniture,2020-02-20,sofa
198,3.14,60.92,clothing,2021-04-24,shirt
199,9.91,354.03,furniture,2016-10-08,bed
200,4.04,281.11,food,2015-01-17,quinoa
201,3.47,454.93,food,2019-02-18,roll
202,6.91,556.52,furniture,2017-07-31,desk
203,4.66,67.85,food,2021-01-23,ice cream
204,0.39,96.09,clothing,2016-08-01,socks
205,9.28,276.23,furniture,2020-12-04,shelves
206,2.5,823.58,food,2019-07-22,wrap
207,0.78,962.82,food,2017-08-06,chicken
208,4.74,100.96,furniture,2019-11-14,dining table
209,0.63,842.46,food,2021-08-19,chicken
210,5.48,40.67,furniture,2018-03-17,press
211,2.94,786.33,furniture,2021-01-18,dining table
212,4.32,75.06,clothing,2018-09-06,socks
213,7.23,292.63,furniture,2019-04-12,bed
214,6.19,142.81,food,2017-01-30,noodles
215,9.84,279.05,food,2015-01-03,bread
216,2.5,307.35,clothing,2021-02-06,tie
217,2.45,914.17,food,2015-09-20,sauce
218,0.63,966.83,clothing,2016-07-05,dress
219,8.16,333.12,food,2019-03-13,sauce
220,3.11,552.62,clothing,2020-06-12,polo
221,7.49,167.29,clothing,2018-09-28,trousers
222,3.49,471.13,clothing,2016-01-25,trousers
223,7.51,683.61,clothing,2019-11-03,trousers
224,1.51,459.82,food,2015-11-15,whey
225,4.48,827.48,clothing,2018-09-03,trousers
226,1.35,943.28,furniture,2019-09-22,dining table
227,9.32,543.7,food,2015-10-18,bread
228,4.44,629.12,furniture,2018-02-14,desk
229,5.5,616.13,food,2015-10-04,beef
230,0.34,137.5,food,2017-07-30,sauce
231,5.75,503.78,furniture,2016-04-06,bed
232,3.15,460.25,clothing,2019-12-17,polo
233,9.71,157.26,furniture,2020-04-21,shelves
234,9.24,614.24,furniture,2021-05-08,sofa
235,4.3,488.2,furniture,2019-12-15,shelves
236,7.77,519.68,furniture,2020-12-21,sofa
237,9.0,167.19,food,2016-10-21,yoghurt
238,5.13,247.46,clothing,2016-07-16,underwear
239,3.8,731.23,furniture,2021-08-20,shelves
240,8.51,406.36,furniture,2016-07-19,shelves
241,3.42,399.07,food,2019-12-21,sauce
242,6.94,491.62,food,2016-10-29,beef
243,3.89,89.75,clothing,2017-08-18,socks
244,1.46,774.7,clothing,2015-11-10,jeans
245,2.4,113.31,food,2021-01-06,sauce
246,6.37,565.45,furniture,2016-03-30,bed
247,9.55,93.72,furniture,2019-06-15,desk
248,9.6,288.34,clothing,2020-05-19,jeans
249,6.43,39.28,furniture,2020-09-25,press
250,9.46,503.97,food,2021-10-15,ice cream
251,2.35,881.02,furniture,2018-11-01,cot
252,9.37,599.0,food,2019-03-06,yoghurt
253,5.02,316.56,food,2016-06-21,chicken
254,7.13,517.84,food,2020-11-10,quinoa
255,2.17,45.15,clothing,2018-05-28,underwear
256,9.24,538.13,clothing,2016-03-26,t-shirt
257,6.62,62.9,furniture,2016-08-09,desk
258,3.76,763.83,clothing,2016-12-01,trousers
259,9.95,309.92,furniture,2015-06-14,cot
260,6.16,464.48,food,2019-11-25,sauce
261,6.79,385.51,food,2015-03-14,chicken
262,0.39,901.82,clothing,2015-07-12,underwear
263,0.35,647.57,clothing,2015-11-20,trousers
264,1.54,680.79,furniture,2015-06-24,shelves
265,7.99,258.11,food,2015-12-27,ice cream
266,4.25,202.87,clothing,2021-03-17,dress
267,6.61,437.09,clothing,2018-07-04,tie
268,4.58,312.18,clothing,2021-11-22,underwear
269,2.92,689.69,food,2015-04-03,beef
270,8.83,648.43,food,2017-09-13,quinoa
271,0.3,309.14,food,2018-05-31,quinoa
272,4.59,908.83,clothing,2017-01-11,polo
273,9.23,483.24,food,2021-03-23,sauce
274,3.5,930.91,clothing,2016-05-24,tie
275,4.78,760.8,food,2019-04-06,roll
276,4.36,547.36,food,2015-11-07,chicken
277,2.57,119.43,food,2019-01-15,noodles
278,3.8,476.89,food,2015-11-13,whey
279,1.05,969.8,clothing,2017-02-19,trousers
280,6.1,926.9,food,2020-12-02,whey
281,6.74,189.7,furniture,2018-05-29,chair
282,6.94,944.14,furniture,2016-06-28,dining table
283,3.39,554.71,food,2018-05-12,wrap
284,5.07,441.56,clothing,2020-09-09,underwear
285,1.93,209.81,clothing,2016-08-27,shirt
286,9.99,337.63,clothing,2021-02-23,skirt
287,1.59,201.88,food,2019-06-30,bread
288,9.95,482.65,clothing,2021-10-03,polo
289,9.65,98.53,furniture,2017-05-07,chair
290,6.86,612.59,food,2015-01-21,quinoa
291,8.72,225.64,furniture,2019-11-08,dining table
292,5.59,72.79,clothing,2019-02-16,shirt
293,4.67,533.45,food,2021-09-07,quinoa
294,4.85,109.53,furniture,2018-07-16,bed
295,1.57,688.0,clothing,2020-09-04,dress
296,2.89,372.44,furniture,2021-09-01,cot
297,5.46,50.11,food,2015-08-21,beef
298,5.85,299.23,furniture,2015-03-30,press
299,9.79,203.74,food,2020-08-04,chicken
300,0.77,816.64,food,2020-05-10,wrap
301,4.52,821.63,food,2016-12-20,whey
302,4.71,62.63,furniture,2018-01-06,dining table
303,0.28,155.97,furniture,2021-07-24,press
304,8.37,688.87,food,2019-04-22,yoghurt
305,9.15,83.06,food,2016-02-15,roll
306,8.54,315.19,furniture,2015-09-28,desk
307,0.93,314.49,clothing,2018-05-04,polo
308,9.46,561.28,furniture,2020-03-15,shelves
309,8.09,158.7,furniture,2021-01-13,desk
310,5.94,896.85,food,2021-03-08,yoghurt
311,9.4,726.6,furniture,2019-01-05,chair
312,0.77,680.58,food,2020-05-03,quinoa
313,9.45,666.4,food,2015-11-28,rice
314,4.01,882.07,food,2019-05-24,roll
315,5.59,394.11,clothing,2016-08-22,skirt
316,8.28,758.21,furniture,2020-02-17,bed
317,6.81,80.38,food,2019-05-07,wrap
318,2.85,900.15,food,2020-10-27,quinoa
319,3.17,759.55,food,2018-01-24,sauce
320,2.03,589.67,clothing,2017-02-04,shirt
321,6.95,638.95,clothing,2015-03-17,shirt
322,8.21,263.84,food,2016-12-26,yoghurt
323,0.53,281.88,clothing,2018-01-03,socks
324,7.88,75.44,furniture,2018-11-04,shelves
325,4.62,467.32,food,2019-04-13,sauce
326,6.03,611.93,clothing,2020-10-03,skirt
327,2.92,369.35,clothing,2018-11-01,trousers
328,4.36,517.27,furniture,2021-12-16,press
329,1.76,274.79,food,2020-11-30,whey
330,5.24,224.18,clothing,2018-10-08,t-shirt
331,8.23,478.38,furniture,2021-12-16,chair
332,5.8,755.84,clothing,2015-01-05,socks
333,7.93,416.94,clothing,2019-12-17,jeans
334,5.55,837.2,food,2016-12-02,sauce
335,1.89,877.61,furniture,2018-12-08,bed
336,7.65,936.62,furniture,2016-03-23,chair
337,5.01,472.49,clothing,2015-07-19,skirt
338,2.34,87.52,furniture,2019-07-07,press
339,1.52,497.59,clothing,2017-09-09,t-shirt
340,4.9,171.51,furniture,2021-10-23,press
341,1.5,527.28,food,2016-07-15,bread
342,3.44,315.76,food,2021-01-23,beef
343,2.22,471.84,furniture,2020-02-18,shelves
344,9.49,70.99,clothing,2020-02-12,tie
345,3.03,310.15,clothing,2019-10-25,trousers
346,2.12,207.9,food,2017-03-10,rice
347,6.97,98.55,furniture,2017-08-05,bed
348,2.54,112.68,furniture,2015-06-22,sofa
349,6.08,272.0,furniture,2017-09-26,shelves
350,7.51,18.69,furniture,2021-10-20,chair
351,3.33,736.58,food,2018-10-08,ice cream
352,0.19,855.16,clothing,2019-11-16,trousers
353,5.99,814.94,furniture,2021-10-12,chair
354,5.93,340.27,clothing,2021-02-24,t-shirt
355,8.69,946.44,furniture,2020-10-12,bed
356,3.63,146.93,food,2021-01-02,yoghurt
357,5.17,816.45,clothing,2020-04-08,t-shirt
358,9.6,453.08,furniture,2020-04-24,cot
359,2.88,689.94,clothing,2019-01-27,trousers
360,2.95,669.14,food,2016-06-09,sauce
361,0.77,530.13,furniture,2015-01-22,dining table
362,9.11,7.15,furniture,2015-07-06,press
363,6.29,679.3,clothing,2016-11-20,dress
364,1.82,992.72,food,2019-05-09,bread
365,9.63,207.1,furniture,2021-04-09,bed
366,5.84,192.52,clothing,2018-04-08,shirt
367,4.56,525.83,food,2017-11-16,beef
368,4.06,529.04,food,2017-01-27,yoghurt
369,6.31,245.39,furniture,2016-01-31,desk
370,2.3,650.36,food,2018-01-17,wrap
371,4.68,951.11,furniture,2021-09-04,press
372,9.83,220.18,food,2021-05-20,roll
373,3.95,320.27,clothing,2015-01-07,polo
374,0.93,708.27,furniture,2021-11-19,press
375,7.01,89.02,food,2019-10-19,ice cream
376,8.93,301.44,furniture,2020-05-04,cot
377,3.0,173.05,clothing,2015-05-22,polo
378,2.39,88.04,furniture,2018-11-18,cot
379,6.65,767.36,clothing,2018-04-09,underwear
380,4.39,501.07,clothing,2017-03-22,skirt
381,3.65,978.58,food,2017-10-05,roll
382,1.33,289.16,food,2015-10-08,wrap
383,3.23,27.44,food,2021-01-18,bread
384,3.67,855.31,food,2017-10-08,rice
385,9.89,474.44,clothing,2017-02-18,trousers
386,4.96,777.92,furniture,2015-01-23,cot
387,0.72,904.26,food,2021-06-02,chicken
388,5.68,656.43,furniture,2020-04-08,chair
389,1.47,147.73,clothing,2020-09-19,t-shirt
390,7.75,479.92,food,2021-06-29,chicken
391,6.07,830.12,clothing,2020-06-16,t-shirt
392,2.79,379.88,clothing,2015-07-25,tie
393,6.73,807.65,food,2017-11-21,bread
394,5.33,638.56,furniture,2017-08-14,chair
395,9.45,746.0,clothing,2017-08-07,dress
396,9.88,308.31,clothing,2017-07-18,skirt
397,0.14,239.95,food,2019-02-08,noodles
398,3.71,997.89,clothing,2021-09-20,jeans
399,5.22,974.27,furniture,2019-10-19,desk
400,0.22,382.46,food,2019-09-02,rice
401,3.8,966.07,food,2021-10-22,sauce
402,9.05,856.42,clothing,2015-06-11,tie
403,9.39,637.82,clothing,2018-04-04,t-shirt
404,4.2,212.25,clothing,2015-08-02,shirt
405,8.44,840.35,clothing,2015-05-13,socks
406,2.81,400.05,clothing,2016-11-15,jeans
407,6.76,721.67,food,2016-02-12,noodles
408,0.79,569.15,furniture,2019-11-30,sofa
409,3.23,467.22,food,2021-02-11,noodles
410,3.56,537.17,furniture,2019-08-16,chair
411,4.62,810.76,furniture,2019-01-30,sofa
412,1.45,874.07,clothing,2017-12-08,t-shirt
413,1.4,196.93,clothing,2018-10-03,t-shirt
414,9.91,71.93,furniture,2020-06-23,shelves
415,6.38,39.67,furniture,2020-03-30,cot
416,6.76,124.2,clothing,2016-12-25,skirt
417,3.78,461.85,clothing,2018-10-06,socks
418,0.67,211.15,furniture,2015-12-11,desk
419,2.62,662.34,furniture,2018-03-21,cot
420,5.65,364.99,furniture,2020-06-16,press
421,6.87,71.8,food,2019-10-01,roll
422,8.28,963.9,clothing,2020-12-14,socks
423,5.24,534.09,clothing,2018-03-05,tie
424,4.15,569.66,food,2019-01-17,whey
425,6.11,586.33,furniture,2017-02-22,chair
426,5.34,85.21,furniture,2016-09-02,shelves
427,8.15,888.86,food,2015-06-09,bread
428,0.99,7.48,clothing,2017-07-18,tie
429,0.11,456.28,furniture,2016-05-31,chair
430,0.61,631.28,furniture,2015-06-04,desk
431,2.35,921.81,clothing,2016-02-15,polo
432,3.5,821.52,furniture,2015-06-18,chair
433,1.45,461.9,food,2019-06-15,wrap
434,8.73,762.61,furniture,2015-04-03,bed
435,2.99,259.54,furniture,2018-05-21,bed
436,0.1,712.94,clothing,2019-11-26,shirt
437,7.92,492.74,furniture,2021-12-18,bed
438,7.72,341.45,furniture,2016-12-03,shelves
439,6.91,20.94,food,2020-04-08,roll
440,1.08,597.2,furniture,2018-10-08,bed
441,5.48,892.77,furniture,2015-11-03,desk
442,3.0,576.32,clothing,2017-06-04,shirt
443,0.59,34.05,clothing,2020-10-26,polo
444,9.91,616.64,furniture,2015-05-28,cot
445,6.17,32.16,clothing,2020-10-04,socks
446,4.97,818.42,clothing,2021-11-05,polo
447,0.81,462.25,food,2021-03-11,quinoa
448,4.72,698.06,clothing,2017-10-19,shirt
449,3.39,56.96,clothing,2021-07-04,socks
450,8.93,975.25,furniture,2019-03-08,cot
451,0.05,37.67,furniture,2015-07-11,cot
452,2.05,979.57,clothing,2016-01-23,jeans
453,1.03,560.59,food,2021-08-27,roll
454,6.7,336.86,furniture,2015-01-26,bed
455,8.07,250.64,food,2020-11-18,yoghurt
456,7.01,596.81,food,2017-06-30,yoghurt
457,2.09,875.77,furniture,2021-11-20,press
458,0.85,730.86,clothing,2017-09-30,jeans
459,3.25,383.32,clothing,2017-04-01,shirt
460,3.94,866.58,furniture,2019-11-19,chair
461,0.12,785.31,furniture,2017-08-30,press
462,6.06,473.61,clothing,2020-10-14,trousers
463,0.57,169.46,food,2017-04-02,noodles
464,8.38,759.0,food,2019-10-26,bread
465,9.46,458.21,clothing,2021-09-03,dress
466,9.81,806.03,food,2021-09-30,sauce
467,6.23,91.32,furniture,2016-07-15,press
468,4.7,467.65,clothing,2018-07-25,t-shirt
469,3.6,550.41,clothing,2021-10-28,dress
470,8.89,790.2,food,2019-09-29,quinoa
471,5.21,732.98,food,2017-10-09,wrap
472,4.18,98.82,clothing,2016-07-10,underwear
473,7.98,234.08,furniture,2021-04-21,shelves
474,8.03,403.34,furniture,2019-04-21,press
475,7.17,331.74,clothing,2020-11-17,jeans
476,5.92,246.19,furniture,2021-06-27,chair
477,9.59,549.37,clothing,2021-10-15,polo
478,0.98,487.78,furniture,2019-05-25,shelves
479,9.45,189.24,food,2018-06-16,whey
480,4.51,59.59,food,2021-09-07,ice cream
481,2.79,791.32,furniture,2019-04-25,chair
482,3.17,876.03,food,2021-03-12,beef
483,4.46,654.65,furniture,2021-03-09,shelves
484,0.78,994.36,food,2015-10-09,sauce
485,5.03,760.96,clothing,2016-03-14,t-shirt
486,5.54,195.08,clothing,2015-12-02,shirt
487,5.67,744.7,clothing,2020-04-07,dress
488,6.26,65.19,food,2015-02-14,roll
489,2.55,718.13,furniture,2015-03-31,chair
490,3.3,473.54,clothing,2017-09-23,shirt
491,5.01,971.59,clothing,2021-07-09,jeans
492,0.29,351.15,food,2020-09-05,noodles
493,8.5,426.2,food,2016-02-28,ice cream
494,3.16,206.13,clothing,2015-07-08,shirt
495,9.31,517.93,clothing,2015-12-07,jeans
496,5.41,649.71,food,2019-10-10,yoghurt
497,3.33,819.21,clothing,2018-08-11,shirt
498,9.25,371.48,food,2019-08-23,chicken
499,2.8,212.78,furniture,2019-02-26,dining table
500,2.12,813.63,food,2016-05-30,rice
501,2.82,372.64,clothing,2015-10-16,tie
502,6.21,526.1,clothing,2017-01-20,skirt
503,1.92,435.84,furniture,2019-10-13,dining table
504,8.57,474.23,furniture,2017-04-21,bed
505,7.66,139.48,clothing,2017-02-26,dress
506,1.61,555.15,food,2021-08-22,sauce
507,7.67,265.23,food,2020-11-29,yoghurt
508,3.29,814.55,furniture,2020-05-23,bed
509,8.76,763.28,furniture,2019-09-11,sofa
510,9.85,190.05,clothing,2019-11-11,tie
511,4.86,141.42,clothing,2016-08-16,tie
